CustomerID,BirthDate,Age,Gender,ZIP,SocioEconomicIndex,PD_Rating,CreditProductCode,IsBankCard,CardStatus,DebtHistory_1_Date,DebtHistory_1_Amount,DebtHistory_1_ReturnReason,DebtHistory_1_CollectionChannel,DebtHistory_1_CollectionChannelCode,DebtHistory_1_CollectionDays,DebtHistory_2_Date,DebtHistory_2_Amount,DebtHistory_2_ReturnReason,DebtHistory_2_CollectionChannel,DebtHistory_2_CollectionChannelCode,DebtHistory_2_CollectionDays,DebtHistory_3_Date,DebtHistory_3_Amount,DebtHistory_3_ReturnReason,DebtHistory_3_CollectionChannel,DebtHistory_3_CollectionChannelCode,DebtHistory_3_CollectionDays,DebtHistory_4_Date,DebtHistory_4_Amount,DebtHistory_4_ReturnReason,DebtHistory_4_CollectionChannel,DebtHistory_4_CollectionChannelCode,DebtHistory_4_CollectionDays,DebtHistory_5_Date,DebtHistory_5_Amount,DebtHistory_5_ReturnReason,DebtHistory_5_CollectionChannel,DebtHistory_5_CollectionChannelCode,DebtHistory_5_CollectionDays,Alert_1_Code,Alert_1_Date,Alert_2_Code,Alert_2_Date,Alert_3_Code,Alert_3_Date,Alert_4_Code,Alert_4_Date,Alert_5_Code,Alert_5_Date
300011,18/01/1975,51,Female,56642,9,High,3,0,Expired,14/09/2017,1582.96,InsufficientFunds,Branch,3,163,29/10/2017,5741.49,CardExpired,App,2,33,13/12/2017,8370.68,CardExpired,App,2,73,,,,,,,,,,,,,149,14/11/2025,,,150,22/08/2025,,,178,30/09/2025
300012,17/12/1957,69,Male,86940,9,High,1,0,Active,28/02/2021,5662.87,InsufficientFunds,App,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,21/02/2026,,,,
300013,15/12/1965,61,Other,34618,5,Low,2,1,Blocked,16/03/2021,1050.84,InsufficientFunds,App,2,13,30/04/2021,5721.27,InsufficientFunds,Branch,1,26,14/06/2021,9297.02,TechnicalError,App,1,131,29/07/2021,7636.18,TechnicalError,Branch,2,89,12/09/2021,5813.06,InsufficientFunds,Branch,3,130,,,116,17/11/2025,,,,,199,15/02/2026
300014,24/02/1989,37,Other,50405,8,Low,4,0,Blocked,01/08/2025,8448.72,TechnicalError,App,1,157,15/09/2025,5474.36,TechnicalError,Branch,1,11,,,,,,,,,,,,,,,,,,,198,29/11/2025,,,,,,,179,07/04/2025
300015,23/06/2006,20,Other,88705,1,High,3,0,Expired,10/03/2025,9083.96,InsufficientFunds,CallCenter,3,44,24/04/2025,7016.97,TechnicalError,CallCenter,3,160,08/06/2025,7036.51,CardExpired,Branch,1,155,23/07/2025,4621.75,CardExpired,Branch,2,176,,,,,,,169,15/12/2025,,,,,154,20/08/2025,,
300016,14/08/1989,37,Male,27792,9,Low,2,0,Blocked,24/05/2019,3257.7,CardExpired,App,1,143,08/07/2019,3072.92,InsufficientFunds,App,2,6,22/08/2019,4831.81,TechnicalError,CallCenter,1,63,06/10/2019,6108.66,TechnicalError,App,1,111,,,,,,,,,,,,,,,,
300017,16/12/1996,29,Female,67418,5,Low,4,1,Active,31/05/2020,7288.37,TechnicalError,App,2,123,15/07/2020,9917.13,TechnicalError,App,2,114,,,,,,,,,,,,,,,,,,,157,04/09/2024,102,15/01/2025,,,107,21/11/2024,134,21/04/2025
300018,26/03/1980,46,Other,84153,7,High,4,0,Expired,11/07/2019,9333.2,TechnicalError,Branch,2,2,25/08/2019,7065.77,InsufficientFunds,Branch,1,107,,,,,,,,,,,,,,,,,,,,,,,,,184,17/02/2026,,
300019,11/12/1944,82,Other,85435,8,High,3,1,Expired,24/04/2021,5363.45,CardExpired,App,3,72,08/06/2021,645.75,TechnicalError,App,1,107,23/07/2021,3484.89,CardExpired,CallCenter,3,13,06/09/2021,6328.56,CardExpired,Branch,1,12,21/10/2021,2922.45,CardExpired,App,3,102,,,,,101,02/05/2025,,,145,25/02/2025
300020,13/11/1965,60,Male,69202,3,High,2,0,Expired,21/07/2021,9387.39,CardExpired,Branch,1,87,04/09/2021,8131.93,CardExpired,App,2,64,,,,,,,,,,,,,,,,,,,,,,,,,,,199,02/09/2024
300021,24/06/1977,49,Female,68026,1,Medium,1,0,Blocked,21/11/2021,7920.69,CardExpired,App,1,117,,,,,,,,,,,,,,,,,,,,,,,,,165,05/05/2025,111,01/05/2025,,,,,167,20/11/2025
300022,17/09/1999,26,Female,16957,8,Medium,3,0,Blocked,19/12/2017,2321.63,TechnicalError,App,2,82,02/02/2018,7129.93,CardExpired,CallCenter,1,75,19/03/2018,3838.14,InsufficientFunds,App,2,22,03/05/2018,1242.81,InsufficientFunds,Branch,3,174,17/06/2018,3478.41,TechnicalError,Branch,3,54,,,180,25/02/2024,,,,,,
300023,15/08/1952,74,Other,82275,4,High,2,1,Blocked,03/05/2019,2344.83,TechnicalError,Branch,1,89,17/06/2019,8924.56,TechnicalError,CallCenter,1,34,,,,,,,,,,,,,,,,,,,,,,,191,05/09/2025,132,13/07/2025,163,04/07/2025
300024,26/11/2001,24,Male,87431,7,Medium,4,1,Expired,21/04/2023,4087.06,InsufficientFunds,Branch,1,169,05/06/2023,5458.61,CardExpired,App,2,157,,,,,,,,,,,,,,,,,,,,,,,177,09/07/2025,,,,
300025,12/10/1971,54,Other,99584,6,Medium,2,1,Blocked,09/05/2022,4034.52,InsufficientFunds,App,3,153,23/06/2022,726.38,InsufficientFunds,Branch,1,85,07/08/2022,335.35,InsufficientFunds,App,2,45,,,,,,,,,,,,,,,,,120,08/03/2025,,,,
300026,07/04/2002,24,Other,33779,2,Low,3,0,Expired,25/04/2019,5305.66,InsufficientFunds,CallCenter,2,54,09/06/2019,6456.74,TechnicalError,CallCenter,2,173,,,,,,,,,,,,,,,,,,,,,,,,,155,25/03/2025,,
300027,04/05/1971,54,Female,42546,6,Medium,1,1,Active,16/05/2024,8700.44,CardExpired,CallCenter,2,170,30/06/2024,6390.6,TechnicalError,CallCenter,2,176,,,,,,,,,,,,,,,,,,,123,18/05/2025,137,24/05/2025,106,16/03/2025,,,,
300028,18/02/2006,19,Female,33931,1,Low,3,0,Active,16/12/2017,3373.5,InsufficientFunds,Branch,3,152,,,,,,,,,,,,,,,,,,,,,,,,,170,02/01/2025,,,,,,,,
300029,16/08/1974,51,Female,75610,2,High,4,1,Expired,09/03/2024,8728.79,CardExpired,App,3,29,23/04/2024,6237.33,TechnicalError,CallCenter,1,8,07/06/2024,9835.45,TechnicalError,Branch,1,102,22/07/2024,3637.2,InsufficientFunds,Branch,3,129,05/09/2024,3752.15,CardExpired,Branch,3,135,186,11/12/2024,193,30/10/2024,,,127,18/01/2025,109,20/12/2024
300030,08/12/1988,37,Female,20785,6,High,2,0,Expired,19/11/2021,7095.88,TechnicalError,CallCenter,3,76,03/01/2022,8634.74,TechnicalError,Branch,3,6,17/02/2022,7144.38,CardExpired,App,3,129,03/04/2022,4906.95,InsufficientFunds,App,3,2,,,,,,,,,,,,,,,,
300031,07/06/1953,72,Male,88877,2,Medium,2,1,Blocked,25/05/2016,2534.4,TechnicalError,Branch,2,74,09/07/2016,5972.3,TechnicalError,App,1,5,23/08/2016,9365.99,TechnicalError,CallCenter,2,31,,,,,,,,,,,,,,,,,,,135,25/08/2024,,
300032,19/04/1972,53,Other,28242,5,High,3,1,Expired,30/07/2018,2797.74,InsufficientFunds,CallCenter,3,28,13/09/2018,9491.73,InsufficientFunds,Branch,3,9,28/10/2018,8503.65,CardExpired,CallCenter,1,80,12/12/2018,495.11,TechnicalError,Branch,3,142,26/01/2019,7860.01,InsufficientFunds,Branch,1,30,162,12/12/2024,,,,,,,,
300033,20/02/1978,47,Female,49072,4,High,4,1,Blocked,03/08/2019,7432.34,TechnicalError,CallCenter,3,142,,,,,,,,,,,,,,,,,,,,,,,,,,,119,01/01/2025,,,122,08/05/2025,,
300034,03/07/2002,24,Female,68590,5,Medium,2,0,Expired,20/11/2023,2649.73,InsufficientFunds,App,2,121,04/01/2024,4353.4,TechnicalError,App,1,2,18/02/2024,1387.48,TechnicalError,App,1,107,,,,,,,,,,,,,132,16/09/2025,157,20/11/2025,,,,,176,21/12/2025
300035,24/06/1956,69,Other,90239,8,Medium,3,1,Blocked,30/05/2025,3873.92,InsufficientFunds,CallCenter,2,156,14/07/2025,1294.12,TechnicalError,App,3,119,,,,,,,,,,,,,,,,,,,,,103,22/11/2024,,,135,01/05/2025,,
300036,20/03/1949,76,Female,37559,6,Low,1,0,Blocked,20/06/2023,7480.07,CardExpired,App,3,83,04/08/2023,8357.91,InsufficientFunds,App,1,69,18/09/2023,5890.15,CardExpired,CallCenter,1,144,,,,,,,,,,,,,,,,,,,,,,
300037,14/11/1957,68,Female,95760,6,Low,3,1,Expired,08/11/2023,4560.47,InsufficientFunds,CallCenter,3,16,23/12/2023,2304.74,InsufficientFunds,Branch,3,70,,,,,,,,,,,,,,,,,,,,,,,167,15/04/2025,,,,
300038,20/06/1943,82,Other,84294,2,Low,4,1,Active,18/08/2021,8476.08,InsufficientFunds,App,2,95,,,,,,,,,,,,,,,,,,,,,,,,,110,09/01/2025,,,195,08/07/2024,,,,
300039,15/08/1972,53,Other,83512,2,High,2,1,Blocked,22/12/2015,1566.59,TechnicalError,App,3,132,,,,,,,,,,,,,,,,,,,,,,,,,141,10/01/2025,,,191,15/05/2024,125,02/09/2024,125,29/03/2025
300040,16/09/1973,52,Female,25057,7,Low,2,1,Active,01/03/2021,5806.13,TechnicalError,App,1,65,15/04/2021,5172.24,CardExpired,Branch,2,157,30/05/2021,1312.07,InsufficientFunds,App,1,121,14/07/2021,8550.7,CardExpired,App,1,34,,,,,,,174,30/10/2024,110,25/02/2025,182,23/03/2025,100,08/04/2025,,
300041,01/05/1963,63,Other,84439,4,High,1,0,Active,23/10/2018,4510.65,InsufficientFunds,CallCenter,3,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,22/10/2025,,,,
300042,24/04/1966,59,Female,83713,3,Low,3,1,Active,07/08/2024,9345.47,InsufficientFunds,Branch,2,53,21/09/2024,4392.82,CardExpired,App,1,148,05/11/2024,715.12,TechnicalError,Branch,1,158,,,,,,,,,,,,,178,27/10/2024,,,,,,,186,02/05/2025
300043,21/02/1957,68,Female,59494,3,High,1,0,Expired,07/10/2017,1671.7,CardExpired,App,1,119,21/11/2017,8899.98,InsufficientFunds,App,1,127,05/01/2018,5836.8,InsufficientFunds,CallCenter,2,157,19/02/2018,3652,InsufficientFunds,Branch,3,62,,,,,,,,,,,,,,,,
300044,20/03/1993,33,Other,98339,9,Medium,2,1,Expired,05/10/2018,8373.91,CardExpired,Branch,2,49,19/11/2018,5813.77,InsufficientFunds,CallCenter,1,168,03/01/2019,3070.53,CardExpired,Branch,1,115,,,,,,,,,,,,,,,,,128,15/12/2025,,,,
300045,03/06/1998,27,Male,18059,8,Low,2,1,Expired,23/06/2023,9702.26,TechnicalError,CallCenter,3,28,07/08/2023,2842.56,TechnicalError,App,2,122,,,,,,,,,,,,,,,,,,,,,119,22/08/2025,184,07/05/2025,,,184,18/01/2025
300046,07/01/1986,39,Other,93936,6,High,4,0,Blocked,20/09/2019,8902.13,InsufficientFunds,App,1,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,19/09/2025,,,,
300047,20/06/1969,57,Male,11692,2,Low,3,0,Expired,14/09/2023,5088.37,TechnicalError,CallCenter,3,46,29/10/2023,9505.24,TechnicalError,CallCenter,3,128,13/12/2023,8059.01,CardExpired,App,3,34,27/01/2024,4330.62,InsufficientFunds,Branch,3,45,,,,,,,,,146,10/01/2026,,,175,01/11/2025,,
300048,25/11/1991,35,Female,52576,9,High,1,0,Active,24/11/2018,8705.49,TechnicalError,App,1,16,,,,,,,,,,,,,,,,,,,,,,,,,126,15/11/2025,146,12/10/2025,193,02/11/2025,,,189,28/07/2025
300049,06/11/1983,42,Female,52272,8,Low,2,0,Blocked,15/03/2016,5249.43,TechnicalError,Branch,2,134,,,,,,,,,,,,,,,,,,,,,,,,,,,150,23/06/2024,,,,,,
300050,14/11/1970,55,Female,78549,8,Low,3,0,Blocked,20/03/2018,4079.37,TechnicalError,Branch,1,28,04/05/2018,3207.35,InsufficientFunds,Branch,2,29,18/06/2018,7026.86,CardExpired,Branch,3,179,02/08/2018,7084.43,InsufficientFunds,CallCenter,3,60,16/09/2018,5356.76,TechnicalError,Branch,1,77,189,26/07/2024,120,06/12/2024,,,,,,
300051,13/02/1958,67,Other,84247,3,Low,3,1,Active,10/08/2015,3820.32,CardExpired,App,2,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,29/01/2025,122,13/03/2025
300052,01/08/1976,49,Male,99694,9,High,1,1,Expired,18/05/2016,9364.34,CardExpired,App,1,114,02/07/2016,1568.9,CardExpired,CallCenter,3,31,,,,,,,,,,,,,,,,,,,,,185,20/02/2024,,,,,,
300053,13/02/1977,48,Other,92324,4,Low,3,0,Blocked,27/08/2018,9847.06,TechnicalError,CallCenter,3,69,11/10/2018,9745.41,InsufficientFunds,Branch,3,38,25/11/2018,9827.14,TechnicalError,Branch,2,109,09/01/2019,7881.38,TechnicalError,CallCenter,1,5,23/02/2019,640.11,CardExpired,App,3,9,,,179,25/07/2024,137,15/02/2024,,,,
300054,14/08/1968,57,Other,67054,6,Medium,2,0,Expired,19/09/2025,7090.88,InsufficientFunds,Branch,1,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,07/04/2025,177,18/11/2024
300055,04/10/1968,58,Female,70788,1,Low,1,1,Active,07/03/2016,3729.04,TechnicalError,App,3,132,21/04/2016,6512.38,TechnicalError,CallCenter,3,30,05/06/2016,8983.88,CardExpired,App,1,78,20/07/2016,9654.06,InsufficientFunds,App,2,139,03/09/2016,1252.99,InsufficientFunds,CallCenter,2,51,,,182,26/07/2025,,,,,,
300056,14/05/2005,20,Female,74826,9,High,3,1,Active,16/09/2015,5758.7,CardExpired,Branch,3,101,31/10/2015,2570.24,CardExpired,App,2,150,15/12/2015,7408.69,TechnicalError,App,2,171,29/01/2016,1475.04,InsufficientFunds,CallCenter,3,149,,,,,,,,,,,,,,,,
300057,04/04/1975,51,Male,15682,8,High,2,1,Expired,09/01/2019,7202.95,TechnicalError,CallCenter,3,138,23/02/2019,2297.85,InsufficientFunds,Branch,2,155,,,,,,,,,,,,,,,,,,,,,116,25/05/2025,,,,,,
300058,06/12/1995,30,Female,64535,2,Medium,1,0,Blocked,22/03/2018,8866.25,TechnicalError,App,2,103,06/05/2018,3871.24,InsufficientFunds,Branch,1,112,20/06/2018,154.2,InsufficientFunds,CallCenter,2,148,04/08/2018,1569.55,CardExpired,CallCenter,1,106,,,,,,,174,06/02/2025,197,06/02/2025,,,,,,
300059,05/01/1946,79,Male,84984,9,Low,3,0,Active,21/05/2016,1242.46,TechnicalError,Branch,1,74,,,,,,,,,,,,,,,,,,,,,,,,,182,01/09/2024,181,12/08/2024,,,,,,
300060,04/03/1953,72,Female,99269,3,High,2,1,Active,30/07/2019,2414.78,TechnicalError,Branch,3,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,14/04/2025
300061,17/09/1956,69,Female,97681,9,Low,4,1,Active,12/05/2019,6158.87,InsufficientFunds,CallCenter,1,4,26/06/2019,3108.34,InsufficientFunds,App,1,71,10/08/2019,7840.72,InsufficientFunds,CallCenter,1,96,24/09/2019,7495.08,CardExpired,Branch,2,43,08/11/2019,1380.96,InsufficientFunds,App,1,94,,,,,,,137,10/07/2024,,
300062,20/05/1979,47,Female,17440,5,High,2,1,Active,19/08/2023,8333.14,CardExpired,Branch,1,127,03/10/2023,5698.54,TechnicalError,CallCenter,3,80,17/11/2023,701.84,CardExpired,Branch,1,129,01/01/2024,3104.35,CardExpired,App,1,15,,,,,,,,,,,,,,,181,12/04/2025
300063,17/02/1980,45,Female,57387,4,Low,3,1,Blocked,21/05/2018,6911.02,CardExpired,CallCenter,3,25,,,,,,,,,,,,,,,,,,,,,,,,,183,26/02/2025,,,,,,,,
300064,26/10/1954,72,Male,21043,6,Low,2,0,Active,05/08/2018,9947.59,InsufficientFunds,App,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,30/10/2025,156,07/06/2025,,
300065,22/07/1976,49,Female,63803,9,High,2,1,Active,01/12/2016,7412.11,TechnicalError,Branch,2,77,15/01/2017,6338.27,CardExpired,CallCenter,2,157,01/03/2017,7922.78,InsufficientFunds,CallCenter,2,44,15/04/2017,7856.49,InsufficientFunds,CallCenter,3,43,,,,,,,162,24/02/2025,,,156,12/06/2025,,,114,07/09/2025
300066,19/05/1973,52,Other,50167,2,Low,3,1,Blocked,09/03/2020,4700.16,InsufficientFunds,App,1,15,23/04/2020,577.58,CardExpired,App,1,136,,,,,,,,,,,,,,,,,,,118,03/12/2024,,,,,146,04/07/2025,,
300067,08/06/1987,39,Male,34439,1,Low,3,1,Expired,28/09/2022,9376.55,TechnicalError,App,3,88,12/11/2022,3650.4,TechnicalError,App,2,139,27/12/2022,1785.07,CardExpired,App,2,109,,,,,,,,,,,,,,,160,18/07/2025,113,18/05/2025,,,,
300068,19/06/1979,46,Other,80790,2,High,2,1,Blocked,21/10/2016,9332.14,TechnicalError,App,2,118,05/12/2016,867.95,CardExpired,Branch,2,126,,,,,,,,,,,,,,,,,,,169,19/07/2025,,,175,27/07/2025,141,24/12/2024,,
300069,25/10/1957,68,Other,90923,2,Medium,2,0,Active,29/10/2023,4680.2,InsufficientFunds,Branch,2,23,13/12/2023,8925.75,InsufficientFunds,Branch,3,58,27/01/2024,9804.01,InsufficientFunds,Branch,1,37,12/03/2024,1562.81,TechnicalError,CallCenter,2,16,,,,,,,160,17/05/2024,,,,,,,121,08/03/2024
300070,27/11/1981,44,Other,37504,5,High,4,1,Expired,26/06/2015,6669.72,CardExpired,App,2,141,10/08/2015,5095.96,TechnicalError,App,3,65,24/09/2015,4347.39,TechnicalError,CallCenter,1,93,08/11/2015,4920.58,InsufficientFunds,Branch,2,124,23/12/2015,6931.52,InsufficientFunds,Branch,1,65,172,28/05/2024,,,155,20/05/2024,,,,
300071,01/06/1987,38,Male,70527,6,Low,1,1,Blocked,03/06/2022,3203.25,CardExpired,App,3,59,18/07/2022,8252.34,TechnicalError,Branch,2,54,01/09/2022,1353.33,InsufficientFunds,Branch,1,2,,,,,,,,,,,,,146,24/11/2025,169,22/01/2025,,,101,02/09/2025,,
300072,17/11/2002,23,Other,17657,1,Medium,2,0,Active,23/05/2021,6275.77,TechnicalError,CallCenter,1,14,07/07/2021,9293.8,TechnicalError,CallCenter,3,118,21/08/2021,7420.26,TechnicalError,CallCenter,1,25,,,,,,,,,,,,,,,160,07/12/2024,142,12/05/2025,,,,
300073,06/10/1984,41,Male,85908,4,Medium,2,1,Blocked,14/05/2018,1088.72,TechnicalError,Branch,2,110,28/06/2018,8272.61,InsufficientFunds,App,3,50,12/08/2018,7625.84,InsufficientFunds,CallCenter,1,15,26/09/2018,3867.69,CardExpired,Branch,2,132,10/11/2018,2537.14,TechnicalError,Branch,1,144,,,161,27/10/2024,157,28/11/2024,150,23/06/2024,116,09/09/2024
300074,02/10/1980,45,Female,97062,8,Low,3,1,Expired,06/06/2017,4863.44,InsufficientFunds,Branch,3,155,21/07/2017,6379.71,InsufficientFunds,CallCenter,2,116,04/09/2017,5364.82,TechnicalError,CallCenter,2,7,19/10/2017,8830.95,InsufficientFunds,Branch,1,20,03/12/2017,2813.71,CardExpired,CallCenter,3,174,,,167,09/10/2024,,,,,159,29/06/2024
300075,06/08/1955,70,Female,34042,7,High,1,1,Active,04/02/2017,3607.26,CardExpired,CallCenter,1,18,21/03/2017,6670.58,InsufficientFunds,Branch,3,118,05/05/2017,9916.49,CardExpired,CallCenter,1,91,19/06/2017,1098.21,InsufficientFunds,App,1,97,03/08/2017,6744.19,CardExpired,Branch,1,8,,,113,24/12/2024,139,10/07/2025,186,23/02/2025,,
300076,08/11/1946,80,Female,65080,2,High,1,1,Blocked,28/10/2023,134.54,InsufficientFunds,Branch,1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,158,24/02/2025,,,,,,
300077,07/08/1951,74,Male,31253,5,Low,2,1,Blocked,28/01/2018,3025.88,InsufficientFunds,App,2,13,14/03/2018,1513.92,CardExpired,Branch,3,35,28/04/2018,2326.97,TechnicalError,Branch,3,77,,,,,,,,,,,,,145,09/11/2024,,,,,,,198,14/08/2024
300078,03/01/1969,56,Other,53195,8,Medium,1,0,Expired,14/03/2024,9883.57,TechnicalError,CallCenter,2,18,28/04/2024,6698.93,InsufficientFunds,App,3,151,,,,,,,,,,,,,,,,,,,137,15/01/2025,,,173,05/02/2025,,,,
300079,21/03/1996,30,Other,53920,4,Medium,2,0,Active,07/07/2018,2704.16,TechnicalError,Branch,3,54,21/08/2018,2707.58,InsufficientFunds,Branch,3,58,05/10/2018,7171.56,TechnicalError,Branch,1,47,19/11/2018,8345.62,TechnicalError,App,2,116,,,,,,,161,07/09/2025,,,,,172,18/09/2025,137,19/05/2025
300080,08/11/1980,46,Male,31073,3,Low,3,0,Active,14/02/2022,9366.05,TechnicalError,CallCenter,3,166,31/03/2022,159.77,CardExpired,CallCenter,1,132,15/05/2022,1125.7,InsufficientFunds,App,3,156,29/06/2022,8894.09,CardExpired,Branch,2,138,,,,,,,,,158,04/05/2025,,,152,08/08/2025,,
300081,01/07/1960,65,Female,44949,5,Low,2,1,Expired,10/04/2022,1792.57,TechnicalError,App,2,17,,,,,,,,,,,,,,,,,,,,,,,,,127,23/08/2024,,,150,13/04/2025,,,,
300082,06/02/1989,36,Male,83338,4,Medium,2,1,Blocked,27/03/2024,7655.69,CardExpired,Branch,3,63,11/05/2024,7063.83,CardExpired,CallCenter,1,138,25/06/2024,5492.49,CardExpired,App,1,18,09/08/2024,622.97,TechnicalError,Branch,1,175,,,,,,,,,,,139,30/06/2025,,,,
300083,16/08/2003,22,Female,93665,8,Low,1,0,Expired,01/03/2017,2632.98,InsufficientFunds,CallCenter,2,78,15/04/2017,3820.15,InsufficientFunds,Branch,3,80,30/05/2017,9480.44,TechnicalError,App,1,93,,,,,,,,,,,,,,,152,19/01/2025,,,,,,
300084,19/06/1945,80,Other,19056,4,Medium,4,0,Blocked,09/09/2024,9897.57,InsufficientFunds,Branch,3,13,24/10/2024,5992.74,InsufficientFunds,Branch,2,137,08/12/2024,960.97,InsufficientFunds,CallCenter,1,72,,,,,,,,,,,,,,,,,,,128,03/04/2024,,
300085,22/11/1968,57,Male,16670,9,High,4,0,Blocked,14/11/2020,6318.76,InsufficientFunds,Branch,2,166,29/12/2020,8082.1,CardExpired,Branch,3,74,12/02/2021,5275.07,TechnicalError,App,2,15,,,,,,,,,,,,,177,28/06/2025,193,15/11/2025,167,15/06/2025,,,,
300086,20/04/1981,44,Male,35935,5,Low,2,0,Expired,18/03/2020,6318.68,InsufficientFunds,App,1,85,02/05/2020,5435.41,CardExpired,CallCenter,3,83,,,,,,,,,,,,,,,,,,,,,101,16/04/2025,188,20/10/2024,,,,
300087,18/05/1989,37,Other,45142,6,Medium,2,0,Expired,29/07/2021,2664.26,InsufficientFunds,CallCenter,1,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
